iata_code,name,id_icao
Q3,Anguilla Air Services,AXL
Q5,40 Mile Air,MLA
Q7,SkyBahamas,SBM
Q8,Trans Air Congo,TSG
QB,Qeshm Air,IRQ
QC,Camair-co,CRC
QD,JC International Airlines,JCC
QH,Bamboo Airways,BAV
QH,Air Kyrgyzstan,LYN
QK,Air Canada Express,JZA
QL,LASER Airlines,LER
QM,Monacair,0
QN,Skytrans,SKP
QQ,Alliance Airlines,UTY
QU,Azur Air Ukraine,UTN
QV,Lao Airlines,LAO
QW,Qingdao Airlines,QDA
R2,Transair Senegal,GTS
R3,Yakutia Airlines,SYL
R6,DOT LT,DNU
RA,Nepal Airlines,RNA
RB,SyrianAir,SYR
RC,Atlantic Airways,FLI
RG,Rotana Jet,RJD
RL,Royal Flight,ABG
RM,Armenia Aircompany,NGT
RQ,Kam Air,KMF
RR,Ryanair Sun,RYS
RT,UVT Aero,BUG
RV,Air Canada Rouge,ROU
RW,Royal Air Charter,RYL
RX,Regent Airways,RGE
RZ,SANSA,LRS
S0,Aerolineas Sosa,NSO
S4,Azores Airlines,RZO
S6,Sunrise Airways,KSZ
OU,Croatia Airlines,CTN
OZ,Asiana Airlines,AAR
NU,Japan Transocean Air,JTA
S7,S7 Airlines,SBI
QF,Qantas,QFA
QR,Qatar Airways,QTR
RJ,Royal Jordanian,RJA
RO,Tarom,ROT
OK,CSA Czech Airlines,CSA
QG,Citilink,CTV
P4,Air Peace,APK
PA,airblue,ABQ
RS,Air Seoul,ASV
PN,West Air,CHB
QZ,Indonesia AirAsia,AWQ
S2,JetLite,JLL
OD,Malindo Air,MXD
QS,SmartWings Czechia,TVS
Q6,Volaris Costa Rica,VOC
R5,Jordan Aviation,JAV
OV,SalamAir,OMS
S8,Sounds Air,SDA
SB,Aircalin,ACI
SC,Shandong Airlines,CDG
SD,Sudan Airways,SUD
SE,XL Airways France,XLF
SF,Tassili Airlines,DTH
SH,Sharp Airlines,SHA
SI,Flybe,BCI
SJ,Sriwijaya Air,SJY
SM,Air Cairo,MSC
SP,SATA Air Acores,SAT
SP,Sky Pasada,WCC
SR,SundAir,SDR
SS,Corsair International,CRL
SW,Air Namibia,NMB
SZ,Somon Air,SMR
T0,Avianca Peru,TPU
T2,Fly Art,FLB
T3,Eastern Airways,EZE
T5,Turkmenistan Airlines,TUA
T6,AirSWIFT,ATX
T7,Twin Jet,TJT
TA,Avianca El Salvador,TAI
TC,Air Tanzania,ATC
TE,SkyTaxi,IGA
TF,BRA,SCW
TI,Tailwind Airlines,TWI
TJ,Tradewind Aviation,GPD
TL,Airnorth,ANO
TM,LAM Mozambique Airlines,LAM
TN,Air Tahiti Nui,THT
TQ,Tandem Aero,TDM
TS,Air Transat,TSC
TU,Tunisair,TAR
TV,Tibet Airlines,TBA
TX,Air Caraibes,FWI
TY,Air Caledonie,TPC
TZ,Tsaradia,0
U4,Buddha Air,BHA
U5,Karinou Airlines,KRN
U6,Ural Airlines,SVR
U8,Tus Airways,CYF
UB,Myanmar National Airlines,UBA
UE,Ultimate Air Shuttle,UJC
UG,Tunisair Express,TUX
UH,AtlasGlobal Ukraine,UJX
UI,Auric Air,AUK
UJ,ALMasria Universal Airlines,LMU
UK,Vistara,VTI
SA,South African Airways,SAA
SK,SAS Scandinavian,SAS
UM,Air Zimbabwe,AZW
UP,Bahamasair,BHS
UT,Utair,UTA
UZ,Buraq Air,BRQ
V0,Conviasa,VCV
V4,Vieques Air Link,VES
V5,Aerovias DAP,DAP
V6,VI Airlink,VIL
TG,THAI airways,THA
UA,United Airlines,UAL
SN,Brussels Airlines,BEL
SQ,Singapore Airlines,SIA
TK,Turkish Airlines,THY
TP,TAP Air Portugal,TAP
UL,SriLankan Airlines,ALK
SV,Saudia,SVA
SU,Aeroflot,AFL
UX,Air Europa,AEA
UU,Air Austral,REU
SL,Thai Lion Air,TLM
UQ,Urumqi Air,CUH
UO,HK Express,HKE
TZ,Scoot,SCO
SG,SpiceJet,SEJ
TT,Tigerair Australia,TGG
TW,T'way Air,TWB
U2,easyJet,EZY
TO,Transavia France,TVF
TB,TUI fly Belgium,JAF
V7,Volotea,VOE
SY,Sun Country Airlines,SCX
V8,Iliamna Air Taxi,IAR
VA,Virgin Australia,VOZ
XL,LATAM Ecuador,LNE
VH,Aeropostal,ALV
VK,Anisec Luftfahrt,FOO
VL,Med-View Airline,MEV
VM,Max Air,NGL
VP,Flyme,VQI
VQ,Novoair,NVQ
VR,Cabo Verde Airlines,TCV
VS,Virgin Atlantic,VIR
VT,Air Tahiti,VTA
VV,Viva Air Peru,VPE
VW,Aeromar,TAO
VZ,Thai Vietjet Air,TVJ
W2,FlexFlight,FXT
W3,Arik Air,ARA
W5,Mahan Air,IRM
W7,Wings of Lebanon,WLB
W9,Wizz Air UK,WUK
WA,KLM Cityhopper,KLC
WB,RwandAir,RWD
WC,Avianca Honduras,ISV
WE,THAI Smile,THD
WF,Widerøe,WIF
WI,White Airways,WHT
WK,Edelweiss Air,EDW
WM,Winair,WIA
WQ,Swift Air,SWQ
WT,Wasaya Airways,WSG
WU,Jetways Airlines,JWX
WV,Westair Aviation,WAA
WY,Oman Air,OMA
WZ,Red Wings,RWZ
X4,Alaska Seaplanes,
X5,Air Europa Express,OVA
XC,Corendon Airlines,CAI
XE,JetSuiteX,JSX
XK,Air Corsica,CCM
XN,XpressAir,XAR
XR,Corendon Airlines Europe,CXI
XT,Indonesia AirAsia X,IDX
XU,African Express Airways,AXK
Y2,Air Century,CEY
Y6,AB Aviation,AYD
Y7,NordStar,TYA
Y8,Suparna Airlines,YZR
Y9,Kish Air,IRK
YC,Yamal Airlines,LLM
YE,YANAIR,ANR
YH,Yangon Airways,AYG
YJ,Asian Wings Airways,AWM
YK,Avia Traffic Company,AVJ
YL,Libyan Wings,LWA
YM,Montenegro Airlines,MGX
YN,Air Creebec,CRQ
YO,Heli Air Monaco,MCM
YP,Perimeter Aviation,PAG
YQ,TAR Aerolineas,LCT
YS,HOP! Regional,RAE
YT,Yeti Airlines,NYT
YU,EuroAtlantic Airways,MMZ
Z7,Amaszonas Uruguay,AUZ
Z8,Amaszonas,AZN
Z9,Bek Air,BEK
ZA,Sky Angkor Airlines,SWM
YW,Iberia Regional by Air Nostrum,ANE
VN,Vietnam Airlines,HVN
VY,Vueling,VLG
Y5,Golden Myanmar Airlines,GMR
XW,NokScoot,NCT
Z2,Philippines AirAsia,APG
XO,SEAir International,SGD
XJ,Thai AirAsia X,TAX
VZ,Sevenair,RVP
VJ,Vietjet,VJC
XQ,SunExpress,SXS
XG,SunExpress Deutschland,SXD
X3,TUI fly Deutschland,TUI
W6,Wizz Air,WZZ
VE,EasyFly,EFY
VB,Viva Aerobus,VIV
Y4,Volaris,VOI
XY,Flynas,KNE
WN,Southwest Airlines,SWA
WG,Sunwing Airlines,SWG
VC,ViaAir,SRY
WS,WestJet,WJA
WR,WestJet Encore,WEN
WO,Swoop,WSW
ZI,Aigle Azur,AAF
ZL,Regional Express,RXA
ZO,Zoom Air,ZOM
ZP,Paranair,AZP
ZQ,Azman Air,AZM
ZX,Air Canada Express,GGN
5M,Hi Fly Malta,HFM
BR,EVA Air,EVA
JP,Adria Airways,ADR
ET,Ethiopian Airlines,ETH
OS,Austrian Airlines,AUA
NH,All Nippon Airways,ANA
ZH,Shenzhen Airlines,CSZ
4M,LATAM Argentina,DSM
CJ,BA CityFlyer,CFE
GH,Globus Airlines,GLP
XM,J-Air,JLJ
QE,Qatar Executive,QQE
RY,Jiangxi Air,CJX
KE,Korean Air,KAL
GA,Garuda Indonesia,GIA
JN,Joon,JON
T9,Turpial Airlines,VTU
ZM,Air Manas,MBB
DG,Cebgo,SRQ
5J,Cebu Pacific,CEB
NZ,Air New Zealand,ANZ
TR,Scoot,TGW
5K,Hi Fly,HFY
HG,Hibernian Airlines,HBN
